Running MAIN!!!
 * Serving Flask app 'master' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://192.168.1.21:5000/ (Press CTRL+C to quit)
192.168.1.23 - - [15/Jul/2023 21:13:11] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:13:14] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:16:47] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:16:57] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:17:40] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:20:36] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:21:02] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:24:39] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:24:40] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:24:41] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:24:42] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:24:42] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:24:43] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:24:44] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:24:45] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:24:45] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:25:23] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:25:24] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:26:23] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:26:55] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:27:56] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:28:21] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:28:24] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:28:24] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:31:21] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:31:52] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:32:43] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:32:43] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:32:44] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:32:45] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:32:51] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:32:52] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:32:53] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:32:53] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:32:54] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:32:54] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:32:55] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:32:56] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:32:56] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:32:57] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:32:57] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:32:58] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:32:58] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.23 - - [15/Jul/2023 21:32:59] "GET /position_relative_json HTTP/1.1" 200 -
